sector,ticker,period_end,yf_revenue,sec_revenue,revenue_status,yf_net_income,sec_net_income,net_income_status,yf_capex,sec_capex,capex_status,yf_fcf,sec_fcf(ocf-capex),fcf_status,verified,sec_accession
tech,ADBE,2025-11-30,23769000000.0,23769000000,match,7130000000.0,7130000000,match,179000000.0,179000000,match,9852000000.0,9852000000,match,1,0000796343-26-000003
tech,ADBE,2024-11-30,21505000000.0,21505000000,match,5560000000.0,5560000000,match,183000000.0,183000000,match,7873000000.0,7873000000,match,1,0000796343-26-000003
tech,ADBE,2023-11-30,19409000000.0,19409000000,match,5428000000.0,5428000000,match,360000000.0,360000000,match,6942000000.0,6942000000,match,1,0000796343-26-000003
tech,ADBE,2022-11-30,17606000000.0,17606000000,match,4756000000.0,4756000000,match,442000000.0,442000000,match,7396000000.0,7396000000,match,1,0000796343-25-000004
tech,CRM,2026-01-31,41525000000.0,41525000000,match,7457000000.0,7457000000,match,594000000.0,594000000,match,14402000000.0,14402000000,match,1,0001108524-26-000060
tech,CRM,2025-01-31,37895000000.0,37895000000,match,6197000000.0,6197000000,match,658000000.0,658000000,match,12434000000.0,12434000000,match,1,0001108524-26-000060
tech,CRM,2024-01-31,34857000000.0,34857000000,match,4136000000.0,4136000000,match,736000000.0,736000000,match,9498000000.0,9498000000,match,1,0001108524-26-000060
tech,CRM,2023-01-31,31352000000.0,31352000000,match,208000000.0,208000000,match,798000000.0,798000000,match,6313000000.0,6313000000,match,1,0001108524-25-000006
tech,NOW,2025-12-31,13278000000.0,13278000000,match,1748000000.0,1748000000,match,911000000.0,868000000,sec_replaced,4533000000.0,4576000000,sec_replaced,1,0001373715-26-000007
tech,NOW,2024-12-31,10984000000.0,10984000000,match,1425000000.0,1425000000,match,892000000.0,852000000,sec_replaced,3375000000.0,3415000000,sec_replaced,1,0001373715-26-000007
tech,NOW,2023-12-31,8971000000.0,8971000000,match,1731000000.0,1731000000,match,697000000.0,694000000,match,2701000000.0,2704000000,match,1,0001373715-26-000007
tech,NOW,2022-12-31,7245000000.0,7245000000,match,325000000.0,325000000,match,550000000.0,550000000,match,2173000000.0,2173000000,match,1,0001373715-25-000010
tech,INTU,2026-07-31,21448000000.0,21448000000,match,4566000000.0,4566000000,match,221000000.0,175000000,sec_replaced,8617000000.0,8663000000,sec_replaced,1,0000896878-26-000037
tech,INTU,2025-07-31,18831000000.0,18831000000,match,3869000000.0,3869000000,match,124000000.0,84000000,sec_replaced,6083000000.0,6123000000,sec_replaced,1,0000896878-26-000037
tech,INTU,2024-07-31,16285000000.0,16285000000,match,2963000000.0,2963000000,match,250000000.0,191000000,sec_replaced,4634000000.0,4693000000,sec_replaced,1,0000896878-26-000037
tech,INTU,2023-07-31,14368000000.0,14368000000,match,2384000000.0,2384000000,match,260000000.0,210000000,sec_replaced,4786000000.0,4836000000,sec_replaced,1,0000896878-25-000035
tech,DT,2026-03-31,2018387000.0,2018387000,match,162669000.0,162669000,match,32367000.0,32173000,sec_replaced,529483000.0,529677000,match,1,0001773383-26-000019
tech,DT,2025-03-31,1698683000.0,1698683000,match,483684000.0,483684000,match,28802000.0,26106000,sec_replaced,430617000.0,433313000,sec_replaced,1,0001773383-26-000019
tech,DT,2024-03-31,1430530000.0,1430530000,match,154632000.0,154632000,match,31727000.0,26459000,sec_replaced,346382000.0,351650000,sec_replaced,1,0001773383-26-000019
tech,DT,2023-03-31,1158530000.0,1158530000,match,107959000.0,107959000,match,21540000.0,21540000,match,333345000.0,333345000,match,1,0001773383-25-000065
tech,DOCU,2026-01-31,3219500000.0,3219500000,match,309085000.0,309085000,match,106445000.0,106445000,match,1058562000.0,1058562000,match,1,0001261333-26-000021
tech,DOCU,2025-01-31,2976739000.0,2976739000,match,1067885000.0,1067885000,match,96988000.0,96988000,match,920284000.0,920284000,match,1,0001261333-26-000021
tech,DOCU,2024-01-31,2761882000.0,2761882000,match,73980000.0,73980000,match,92391000.0,92391000,match,887135000.0,887135000,match,1,0001261333-26-000021
tech,DOCU,2023-01-31,2515915000.0,2515915000,match,-97454000.0,-97454000,match,77654000.0,77654000,match,429105000.0,429105000,match,1,0001261333-25-000024
tech,PEGA,2025-12-31,1745812000.0,1745812000,match,393437000.0,393437000,match,14504000.0,14504000,match,490723000.0,490723000,match,1,0001013857-26-000017
tech,PEGA,2024-12-31,1497180000.0,1497180000,match,99189000.0,99189000,match,7712000.0,7712000,match,338214000.0,338214000,match,1,0001013857-26-000017
tech,PEGA,2023-12-31,1432616000.0,1432616000,match,67808000.0,67808000,match,16781000.0,16781000,match,201004000.0,201004000,match,1,0001013857-26-000017
tech,PEGA,2022-12-31,1317845000.0,1317845000,match,-345582000.0,-345582000,match,35379000.0,35379000,match,-13043000.0,-13043000,match,1,0001013857-25-000024
tech,CVLT,2026-03-31,1183690000.0,1183690000,match,70657000.0,70657000,match,7529000.0,7529000,match,237151000.0,237151000,match,1,0001169561-26-000017
tech,CVLT,2025-03-31,995619000.0,995619000,match,76106000.0,76106000,match,3756000.0,3756000,match,203626000.0,203626000,match,1,0001169561-26-000017
tech,CVLT,2024-03-31,839247000.0,839247000,match,168906000.0,168906000,match,4086000.0,4086000,match,199712000.0,199712000,match,1,0001169561-26-000017
tech,CVLT,2023-03-31,784590000.0,784590000,match,-35774000.0,-35774000,match,3241000.0,3241000,match,167047000.0,167047000,match,1,0001169561-25-000034
